period start,symbol,price,change %,min,max,30d avg
2020-12-20T00:00:00+00:00,LDOS,$87.00,-14.41%,$84.44,$111.08,$90.09                                 
2020-12-20T00:00:00+00:00,XOM,$75.29,90.52%,$38.83,$75.29,$66.89                                    
2020-12-20T00:00:00+00:00,GOOGL,$2667.02,53.76%,$1720.22,$2996.77,$2798.84                          
2020-12-20T00:00:00+00:00,MU,$79.27,11.19%,$66.31,$97.36,$90.20                                     
2020-12-20T00:00:00+00:00,STT,$93.67,37.54%,$67.96,$103.77,$95.54                                   
2020-12-20T00:00:00+00:00,IVZ,$21.72,27.98%,$16.51,$28.95,$23.22                                    
2020-12-20T00:00:00+00:00,TWTR,$35.26,-35.46%,$33.62,$77.63,$40.30                                  
2020-12-20T00:00:00+00:00,ISRG,$271.79,3.31%,$228.30,$365.42,$325.44                                
2020-12-20T00:00:00+00:00,KR,$43.47,44.01%,$30.18,$49.48,$46.14                                     
2020-12-20T00:00:00+00:00,RL,$109.29,9.82%,$97.07,$137.15,$114.57                                   
2020-12-20T00:00:00+00:00,NSC,$272.03,20.06%,$226.58,$297.71,$286.44                                
2020-12-20T00:00:00+00:00,L,$58.87,35.12%,$42.85,$61.63,$58.75                                      
2020-12-20T00:00:00+00:00,PNC,$208.03,48.54%,$139.21,$225.20,$207.29                                
2020-12-20T00:00:00+00:00,LEN,$93.40,19.17%,$72.25,$116.46,$106.21                                  
2020-12-20T00:00:00+00:00,XYL,$101.67,1.91%,$94.22,$137.73,$113.93                                  
2020-12-20T00:00:00+00:00,CDNS,$145.42,10.39%,$119.68,$191.65,$170.45                               
2020-12-20T00:00:00+00:00,COTY,$8.14,19.81%,$6.33,$10.96,$9.61                                      
2020-12-20T00:00:00+00:00,AME,$135.00,15.00%,$110.39,$147.41,$141.55                                
2020-12-20T00:00:00+00:00,CHTR,$590.47,-9.81%,$555.00,$821.01,$618.59                               
2020-12-20T00:00:00+00:00,ES,$87.20,7.16%,$75.68,$91.37,$88.50                                      
2020-12-20T00:00:00+00:00,DE,$373.73,41.54%,$261.68,$390.85,$361.96                                 
2020-12-20T00:00:00+00:00,LYB,$96.08,10.99%,$82.13,$114.00,$94.30                                   
2020-12-20T00:00:00+00:00,ADBE,$518.16,3.97%,$421.20,$688.37,$540.44                                
2020-12-20T00:00:00+00:00,LOW,$235.05,45.56%,$151.63,$260.52,$246.06                                
2020-12-20T00:00:00+00:00,DG,$204.28,-2.24%,$176.76,$238.27,$223.83                                 
2020-12-20T00:00:00+00:00,D,$79.49,10.39%,$66.02,$80.21,$78.51                                      
2020-12-20T00:00:00+00:00,SNA,$206.53,24.58%,$162.86,$252.55,$213.85                                
2020-12-20T00:00:00+00:00,TJX,$71.36,7.71%,$61.87,$76.72,$72.75                                     
2020-12-20T00:00:00+00:00,GD,$212.83,46.77%,$141.39,$213.10,$207.35                                 
2020-12-20T00:00:00+00:00,WRB,$84.69,32.89%,$60.02,$86.24,$82.59                                    
2020-12-20T00:00:00+00:00,TGT,$217.71,28.49%,$168.12,$266.39,$224.48                                
2020-12-20T00:00:00+00:00,APTV,$131.03,6.25%,$123.32,$178.12,$156.75                                
2020-12-20T00:00:00+00:00,HIG,$71.24,53.46%,$46.42,$73.68,$70.01                                    
2020-12-20T00:00:00+00:00,CMCSA,$49.72,0.98%,$47.47,$61.18,$49.90                                   
2020-12-20T00:00:00+00:00,CI,$233.70,20.53%,$190.94,$263.31,$231.53                                 
